"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Environmentally Sustainable Mineral Resource Activities","Management of Greenhouse Gas Emissions from Mineral Resource Activities","849802"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Environmentally Sustainable Mineral Resource Activities","Management of Liquid Waste from Mineral Resource Activities (excl. Water)","849803"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Environmentally Sustainable Mineral Resource Activities","Management of Solid Waste from Mineral Resource Activities","849804"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Environmentally Sustainable Mineral Resource Activities","Management of Water Consumption by Mineral Resource Activities","849805"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Environmentally Sustainable Mineral Resource Activities","Environmentally Sustainable Mineral Resource Activities not elsewhere classified","849899"
"Economic Development","Mineral Resources (EXCL. Energy Resources)","Other Mineral Resources (excl. Energy Resources)","Mineral Resources (excl. Energy Resources) not elsewhere classified","849999"
"Economic Development","Energy","Energy Exploration","Coal Exploration","850101"
"Economic Development","Energy","Energy Exploration","Geothermal Exploration","850102"
"Economic Development","Energy","Energy Exploration","Oil and Gas Exploration","850103"
"Economic Development","Energy","Energy Exploration","Oil Shale and Tar Sands Exploration","850104"
"Economic Development","Energy","Energy Exploration","Uranium Exploration","850105"
"Economic Development","Energy","Energy Exploration","Energy Exploration not elsewhere classified","850199"
"Economic Development","Energy","Mining and Extraction of Energy Resources","Coal Mining and Extraction","850201"
"Economic Development","Energy","Mining and Extraction of Energy Resources","Geothermal Energy Extraction","850202"
"Economic Development","Energy","Mining and Extraction of Energy Resources","Oil and Gas Extraction","850203"
"Economic Development","Energy","Mining and Extraction of Energy Resources","Oil Shale and Tar Sands Mining and Extraction","850204"
"Economic Development","Energy","Mining and Extraction of Energy Resources","Uranium Mining and Extraction","850205"
"Economic Development","Energy","Mining and Extraction of Energy Resources","Mining and Extraction of Energy Resources not elsewhere classified","850299"
"Economic Development","Energy","Preparation and Production of Energy Sources","Hydrogen Production from Fossil Fuels","850301"
"Economic Development","Energy","Preparation and Production of Energy Sources","Hydrogen Production from Nuclear Energy","850302"
"Economic Development","Energy","Preparation and Production of Energy Sources","Hydrogen Production from Renewable Energy","850303"
"Economic Development","Energy","Preparation and Production of Energy Sources","Oil and Gas Refining","850304"
"Economic Development","Energy","Preparation and Production of Energy Sources","Preparation of Black Coal","850305"
"Economic Development","Energy","Preparation and Production of Energy Sources","Preparation of Brown Coal (Lignite)","850306"
"Economic Development","Energy","Preparation and Production of Energy Sources","Preparation of Oil Shale and Tar Sands","850307"
"Economic Development","Energy","Preparation and Production of Energy Sources","Preparation of Uranium","850308"
"Economic Development","Energy","Preparation and Production of Energy Sources","Production of Biofuels (Biomass)","850309"
"Economic Development","Energy","Preparation and Production of Energy Sources","Preparation and Production of Energy Sources not elsewhere classified","850399"
"Economic Development","Energy","Energy Transformation","Fuel Cells (excl. Solid Oxide)","850401"
"Economic Development","Energy","Energy Transformation","Hydrogen-based Energy Systems (incl. Internal Hydrogen Combustion Engines)","850402"
"Economic Development","Energy","Energy Transformation","Nuclear Energy","850403"
