Field Of Research Division,Field Of Research Group,Field of Research Field Name,Field of Research Field Code
Agricultural And Veterinary Sciences,Horticultural Production,Post Harvest Horticultural Technologies (incl. Transportation and Storage),070605
Agricultural And Veterinary Sciences,Horticultural Production,Horticultural Production not elsewhere classified,070699
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Anaesthesiology and Intensive Care,070701
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Anatomy and Physiology,070702
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Diagnosis and Diagnostics,070703
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Epidemiology,070704
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Immunology,070705
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Medicine,070706
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Microbiology (excl. Virology),070707
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Parasitology,070708
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Pathology,070709
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Pharmacology,070710
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Surgery,070711
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Virology,070712
Agricultural And Veterinary Sciences,Veterinary Sciences,Veterinary Sciences not elsewhere classified,070799
Agricultural And Veterinary Sciences,Other Agricultural And Veterinary Sciences,"Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)",079901
Agricultural And Veterinary Sciences,Other Agricultural And Veterinary Sciences,Fertilisers and Agrochemicals (Application etc.),079902
Agricultural And Veterinary Sciences,Other Agricultural And Veterinary Sciences,Agricultural and Veterinary Sciences not elsewhere classified,079999
Information And Computing Sciences,Artificial Intelligence And Image Processing,Adaptive Agents and Intelligent Robotics,080101
Information And Computing Sciences,Artificial Intelligence And Image Processing,Artificial Life,080102
Information And Computing Sciences,Artificial Intelligence And Image Processing,Computer Graphics,080103
Information And Computing Sciences,Artificial Intelligence And Image Processing,Computer Vision,080104
Information And Computing Sciences,Artificial Intelligence And Image Processing,Expert Systems,080105
Information And Computing Sciences,Artificial Intelligence And Image Processing,Image Processing,080106
Information And Computing Sciences,Artificial Intelligence And Image Processing,Natural Language Processing,080107
Information And Computing Sciences,Artificial Intelligence And Image Processing,"Neural, Evolutionary and Fuzzy Computation",080108
Information And Computing Sciences,Artificial Intelligence And Image Processing,Pattern Recognition and Data Mining,080109
Information And Computing Sciences,Artificial Intelligence And Image Processing,Simulation and Modelling,080110
