,"Australian Bureau of Statistics Statistics New Zealand",,
"040313","Tectonics","260108","Geotectonics"
"040314","Volcanology","260103","Vulcanology"
"040399","Geology not elsewhere classified","260199p","Geology not elsewhere classified"
"040401","Electrical and Electromagnetic Methods in Geophysics","260203","Electromagnetism"
"040402","Geodynamics","260299p","Geophysics not elsewhere classified"
"040403","Geophysical Fluid Dynamics","260299p","Geophysics not elsewhere classified"
"040404","Geothermics and Radiometrics","260207","Radiometrics"
"040405","Gravimetrics","260201","Gravity"
"040406","Magnetism and Palaeomagnetism","260202","Geomagnetism"
"040407","Seismology and Seismic Exploration","260205","Explosion Seismology"
"040407","Seismology and Seismic Exploration","260206","Earthquake Seismology"
"040499","Geophysics not elsewhere classified","260204","Petrophysics"
"040499","Geophysics not elsewhere classified","260299p","Geophysics not elsewhere classified"
"040501","Biological Oceanography","260401","Biological Oceanography"
"040502","Chemical Oceanography","260402","Chemical Oceanography"
"040503","Physical Oceanography","260403","Physical Oceanography"
"040599","Oceanography not elsewhere classified","260499","Oceanography not elsewhere classified"
"040601","Geomorphology and Regolith and Landscape Evolution","260114","Geomorphology"
"040601","Geomorphology and Regolith and Landscape Evolution","269999p","Earth Sciences not elsewhere classified"
"040602","Glaciology","260115","Glaciology"
"040603","Hydrogeology","260501","Groundwater Hydrology"
"040604","Natural Hazards","269901p","Physical Geography"
"040605","Palaeoclimatology","260602p","Climatology (incl. Palaeoclimatology)"
"040606","Quaternary Environments","269901p","Physical Geography"
"040607","Surface Processes","269901p","Physical Geography"
"040608","Surfacewater Hydrology","260502","Surfacewater Hydrology"
"040699","Physical Geography and Environmental Geoscience not elsewhere classified","260599","Hydrology not elsewhere classified"
"040699","Physical Geography and Environmental Geoscience not elsewhere classified","269901p","Physical Geography"
"049999","Earth Sciences not elsewhere classified","269999p","Earth Sciences not elsewhere classified"
"050101","Ecological Impacts of Climate Change","270799p","Ecology and Evolution not elsewhere classified "
"050102","Ecosystem Function","270799p","Ecology and Evolution not elsewhere classified "
"050103","Invasive Species Ecology","270799p","Ecology and Evolution not elsewhere classified "
"050104","Landscape Ecology","270704","Landscape Ecology"
"050199","Ecological Applications not elsewhere classified","270799p","Ecology and Evolution not elsewhere classified "
"050201","Aboriginal and Torres Strait Islander Environmental Knowledge","300899p","Environmental Sciences not elsewhere classified"
"050202","Conservation and Biodiversity ","270708","Conservation and Biodiversity"
"050202","Conservation and Biodiversity ","300805","Conservation"
"050203","Environmental Education and Extension","309902","Education and Extension"
"050204","Environmental Impact Assessment","300804","Environmental Impact Assessment"
"050205","Environmental Management","300801p","Environmental Management and Rehabilitation"
"050205","Environmental Management","300902p","Land and Parks Management"
"050206","Environmental Monitoring","300899p","Environmental Sciences not elsewhere classified"
"050207","Environmental Rehabilitation (excl. Bioremediation)","300801p","Environmental Management and Rehabilitation"
"050208","Māori Environmental Knowledge","300899p","Environmental Sciences not elsewhere classified"
"050209","Natural Resource Management","300803","Natural Resource Management"
"050210","Pacific Peoples Environmental Knowledge","300899p","Environmental Sciences not elsewhere classified"
"050211","Wildlife and Habitat Management","300802","Wildlife and Habitat Management"
"050299","Environmental Science and Management not elsewhere classified","300899p","Environmental Sciences not elsewhere classified"
"050301","Carbon Sequestration Science","300199p","Soil and Water Sciences not elsewhere classified"
"050302","Land Capability and Soil Degradation","300104","Land Capability and Soil Degradation "
"050303","Soil Biology ","300102","Soil Biology "
"050304","Soil Chemistry (excl. Carbon Sequestration Science)","300103","Soil Chemistry "
"050305","Soil Physics ","300101","Soil Physics "
"050399","Soil Sciences not elsewhere classified","300199p","Soil and Water Sciences not elsewhere classified"
"059999","Environmental Sciences not elsewhere classified","300899p","Environmental Sciences not elsewhere classified"
"059999","Environmental Sciences not elsewhere classified","309999p","Agricultural, Veterinary and Environmental Sciences not elsewhere classified"
"060101","Analytical Biochemistry","270101","Analytical Biochemistry"
"060102","Bioinformatics","270199p","Biochemistry and Cell Biology not elsewhere classified "
"060103","Cell Development, Proliferation and Death","270106","Cell Development (incl. Cell Division and Apoptosis) "
"060104","Cell Metabolism","270102","Cell Metabolism"
"060105","Cell Neurochemistry","270107","Cell Neurochemistry"
"060106","Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)","270105","Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)"
"060107","Enzymes","270108","Enzymes"
"060108","Protein Trafficking","270103p","Protein Targeting and Signal Transduction"
"060109","Proteomics and Intermolecular Interactions (excl. Medical Proteomics)","270199p","Biochemistry and Cell Biology not elsewhere classified "
"060110","Receptors and Membrane Biology","270104","Membrane Biology "
"060110","Receptors and Membrane Biology","270199p","Biochemistry and Cell Biology not elsewhere classified "
"060111","Signal Transduction","270103p","Protein Targeting and Signal Transduction"
"060112","Structural Biology (incl. Macromolecular Modelling)","270199p","Biochemistry and Cell Biology not elsewhere classified "
"060113","Synthetic Biology","270199p","Biochemistry and Cell Biology not elsewhere classified "
"060114","Systems Biology","270199p","Biochemistry and Cell Biology not elsewhere classified "
"060199","Biochemistry and Cell Biology not elsewhere classified ","270199p","Biochemistry and Cell Biology not elsewhere classified "
"060201","Behavioural Ecology","270707p","Sociobiology and Behavioural Ecology "
"060202","Community Ecology (excl. Invasive Species Ecology)","270799p","Ecology and Evolution not elsewhere classified "
"060203","Ecological Physiology","270799p","Ecology and Evolution not elsewhere classified "
"060204","Freshwater Ecology ","270701","Freshwater Ecology "
"060205","Marine and Estuarine Ecology (incl. Marine Ichthyology)","270702","Marine and Estuarine Ecology (incl. Marine Ichthyology)"
"060206","Palaeoecology","270705","Palaeoecology"
"060207","Population Ecology ","270706p","Life Histories (incl. Population Ecology)"
"060208","Terrestrial Ecology ","270703","Terrestrial Ecology"
"060299","Ecology not elsewhere classified","270799p","Ecology and Evolution not elsewhere classified "
"060301","Animal Systematics and Taxonomy","270501p","Animal Systematics, Taxonomy and Phylogeny "
"060302","Biogeography and Phylogeography","270709","Biogeography "
"060302","Biogeography and Phylogeography","270799p","Ecology and Evolution not elsewhere classified "
"060303","Biological Adaptation","270799p","Ecology and Evolution not elsewhere classified "
"060304","Ethology and Sociobiology","270707p","Sociobiology and Behavioural Ecology "
"060304","Ethology and Sociobiology","270799p","Ecology and Evolution not elsewhere classified "
"060305","Evolution of Developmental Systems","270799p","Ecology and Evolution not elsewhere classified "
"060306","Evolutionary Impacts of Climate Change","270799p","Ecology and Evolution not elsewhere classified "
"060307","Host-Parasite Interactions","270799p","Ecology and Evolution not elsewhere classified "
"060308","Life Histories","270706p","Life Histories (incl. Population Ecology)"
"060309","Phylogeny and Comparative Analysis","270308p","Microbial Systematics, Taxonomy and Phylogeny"
"060309","Phylogeny and Comparative Analysis","270401p","Plant Systematics, Taxonomy and Phylogeny"
