,"Australian Bureau of Statistics Statistics New Zealand",,
"220207","History and Philosophy of the Humanities","439999p","Other History and Archaeology"
"220207","History and Philosophy of the Humanities","440199p","Philosophy not elsewhere classified"
"220207","History and Philosophy of the Humanities","449999p","Other Philosophy and Religion"
"220208","History and Philosophy of the Social Sciences","430111p","History: Other "
"220208","History and Philosophy of the Social Sciences","430199p","Historical Studies not elsewhere classified"
"220208","History and Philosophy of the Social Sciences","439999p","Other History and Archaeology"
"220208","History and Philosophy of the Social Sciences","440199p","Philosophy not elsewhere classified"
"220208","History and Philosophy of the Social Sciences","449999p","Other Philosophy and Religion"
"220209","History of Ideas","440105p","History of Philosophy and History of Ideas"
"220210","History of Philosophy","440105p","History of Philosophy and History of Ideas"
"220299","History and Philosophy of Specific Fields not elsewhere classified","370699","History and Philosophy of Science and Medicine not elsewhere classified"
"220301","Aesthetics ","440101","Aesthetics "
"220302","Decision Theory","440199p","Philosophy not elsewhere classified"
"220303","Environmental Philosophy","440104p","Applied Ethics (incl. Bioethics and Environmental Ethics)"
"220304","Epistemology ","440102","Epistemology "
"220305","Ethical Theory ","440103","Ethical Theory "
"220306","Feminist Theory","440199p","Philosophy not elsewhere classified"
"220307","Hermeneutic and Critical Theory ","440112","Hermeneutic Theory "
"220308","Logic","440106","Logic"
"220309","Metaphysics","440107","Metaphysics"
"220310","Phenomenology","440111","Phenomenology"
"220311","Philosophical Psychology (incl. Moral Psychology and Philosophy of Action)","440114","Philosophy of Action "
"220312","Philosophy of Cognition","380301","Philosophy of Cognition"
"220313","Philosophy of Language ","440108","Philosophy of Language "
"220314","Philosophy of Mind (excl. Cognition)","440109","Philosophy of Mind (excl. Cognition)"
"220315","Philosophy of Religion ","440209","Philosophy of Religion "
"220316","Philosophy of Specific Cultures (incl. Comparative Philosophy)","440113","Comparative Philosophy"
"220316","Philosophy of Specific Cultures (incl. Comparative Philosophy)","440115","Philosophy of Specific Cultures (e.g. Ancient Greek, Chinese)"
"220317","Poststructuralism","440199p","Philosophy not elsewhere classified"
"220318","Psychoanalytic Philosophy","440199p","Philosophy not elsewhere classified"
"220319","Social Philosophy","440110","Social Philosophy"
"220399","Philosophy not elsewhere classified","440199p","Philosophy not elsewhere classified"
"220401","Christian Studies (incl. Biblical Studies and Church History)","440204","Christian Theology (incl. Biblical Studies and Church History)"
"220402","Comparative Religious Studies","440299p","Religion and Religious Traditions not elsewhere classified"
"220403","Islamic Studies","440205","Islamic Studies"
"220404","Jewish Studies ","440203","Jewish Studies "
"220405","Religion and Society ","440207","Religion and Society "
"220406","Studies in Eastern Religious Traditions","440201","Hindu Studies"
"220406","Studies in Eastern Religious Traditions","440202","Buddhist Studies "
"220406","Studies in Eastern Religious Traditions","440299p","Religion and Religious Traditions not elsewhere classified"
"220407","Studies in Religious Traditions (excl. Eastern, Jewish, Christian and Islamic Traditions)","440206","Studies in Other Religious Traditions"
"220499","Religion and Religious Studies not elsewhere classified","440299p","Religion and Religious Traditions not elsewhere classified"
"229999","Philosophy and Religious Studies not elsewhere classified","449999p","Other Philosophy and Religion"
,,,
,,,
,,,
,"© Commonwealth of Australia 2008",,
,"© Crown Copyright New Zealand 2008",,
