,"Australian Bureau of Statistics Statistics New Zealand",,
"ABS Cat. no. 1297.0 Australian and New Zealand Standard Research Classification 2008 Correspondence Tables",,,
"Released at 11.30am (Canberra time) 22 April 2008",,,
"859804","Management of Liquid Waste from Energy Activities (excl. Water)","660501p","Energy Transformation"
"859804","Management of Liquid Waste from Energy Activities (excl. Water)","660502p","Renewable Energy"
"859804","Management of Liquid Waste from Energy Activities (excl. Water)","660503p","Energy Storage and Distribution"
"859804","Management of Liquid Waste from Energy Activities (excl. Water)","660504p","Conservation and Efficiency"
"859805","Management of Solid Waste from Energy Activities","650401p","Exploration"
"859805","Management of Solid Waste from Energy Activities","650402p","Mining and Extraction"
"859805","Management of Solid Waste from Energy Activities","650403p","Preparation and Supply of Energy Source Minerals"
"859805","Management of Solid Waste from Energy Activities","660501p","Energy Transformation"
"859805","Management of Solid Waste from Energy Activities","660502p","Renewable Energy"
"859805","Management of Solid Waste from Energy Activities","660503p","Energy Storage and Distribution"
"859805","Management of Solid Waste from Energy Activities","660504p","Conservation and Efficiency"
"859806","Management of Water Consumption by Energy Activities","650401p","Exploration"
"859806","Management of Water Consumption by Energy Activities","650402p","Mining and Extraction"
"859806","Management of Water Consumption by Energy Activities","650403p","Preparation and Supply of Energy Source Minerals"
"859806","Management of Water Consumption by Energy Activities","660501p","Energy Transformation"
"859806","Management of Water Consumption by Energy Activities","660502p","Renewable Energy"
"859806","Management of Water Consumption by Energy Activities","660503p","Energy Storage and Distribution"
"859806","Management of Water Consumption by Energy Activities","660504p","Conservation and Efficiency"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified","650401p","Exploration"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified","650402p","Mining and Extraction"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified","650403p","Preparation and Supply of Energy Source Minerals"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified","660501p","Energy Transformation"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified","660502p","Renewable Energy"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified","660503p","Energy Storage and Distribution"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified","660504p","Conservation and Efficiency"
"859999","Energy not elsewhere classified","659999p","Other (e.g. Safety)"
"859999","Energy not elsewhere classified","669999p","Other"
